Unnamed: 0,server_name,IP,logname,authenticate,date,petition,URL,status,bytes,referer,user-agent,level
30,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:37+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2464.68 Safari/537.36",0
31,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:38+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2464.68 Safari/537.36",0
32,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:42+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.2822.64 Safari/537.36",0
33,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:43+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.2822.64 Safari/537.36",0
34,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:44+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.2822.64 Safari/537.36",0
35,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:44+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.2822.64 Safari/537.36",0
36,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:48+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.2847.18 Safari/537.36",0
37,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:49+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.2847.18 Safari/537.36",0
38,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:49+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.2847.18 Safari/537.36",0
39,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:50+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.2847.18 Safari/537.36",0
